	pearson_reconstructed	pearson_predicted	braycurtis_reconstructed	braycurtis_predicted
11116.I32A077.1193681	0.95095116	0.68716365	0.141087	0.3683085
11116.L03A064.1196494	0.90229046	0.77843654	0.18278521	0.28405574
11116.I14A094.1196232	0.99097645	0.9770547	0.17876089	0.29049644
11116.L29A081.1196681	0.94245845	0.7484427	0.1715512	0.2856323
11116.A12C091.1198220	0.9989851	0.6958896	0.0808734	0.43965206
11116.A11C094.1198410	0.9948567	0.96487385	0.13303043	0.36141264
11116.A30C070.1193987	0.94701844	0.47135597	0.1951798	0.46265736
11116.C10A61.1195560	0.9822579	0.860668	0.13920668	0.5119107
11116.U523A63.1197351	0.8582474	0.21111566	0.30469579	0.6845825
11116.L20A074.1195637	0.9474291	0.719769	0.15618484	0.37178808
11116.A04A094.1197104	0.9999091	0.9651165	0.03280762	0.58738226
11116.I05A092.1197442	0.9981604	0.991849	0.099128604	0.2423336
11116.A08B097.1197089	0.9996366	0.97703147	0.066777535	0.28483626
11116.A16D097.1197209	0.9880166	0.9077177	0.16590433	0.3599581
11116.A17D094.1194348	0.9994294	0.9058182	0.05958444	0.5533765
11116.I14A120.1197919	0.998196	0.85109717	0.095603645	0.40257874
11116.A19D091.1195275	0.9993142	0.7763117	0.065247506	0.4050579
11116.I06A069.1194964	0.9333722	0.5560325	0.21342462	0.41016412
11116.U469A61.1193626	0.89301276	0.1578206	0.35844305	0.7031902
11116.L17A082.1194454	0.99047613	0.94596595	0.16539693	0.37299025
11116.L10A068.1197269	0.9628854	0.8003305	0.13682379	0.28318778
11116.L06A076.1194171	0.49675506	0.3178621	0.7888905	0.8750617
11116.I10A103.1196110	0.99737346	0.9665022	0.14534558	0.2667155
11116.L08A062.1194625	0.9728435	0.8529145	0.12106449	0.26666898
11116.A26A118.1193638	0.99955994	0.81261206	0.085805565	0.5928629
11116.A16D061.1195084	0.9762102	0.7937404	0.11717347	0.31434646
11116.L25A119.1197851	0.9993761	0.6235879	0.0991789	0.6114477
11116.L24A063.1195313	0.924291	0.71133256	0.15176503	0.32061106
11116.C11A65.1196491	0.92777896	0.68295074	0.18993925	0.530151
11116.I12A097.1194541	0.9920412	0.93629086	0.14207235	0.29462793
11116.L08A097.1196160	0.995914	0.9753743	0.13045648	0.2526746
11116.L20A075.1193915	0.940536	0.8481369	0.17346829	0.27496547
11116.A20B070.1194456	0.9770031	0.5847877	0.18154952	0.3739297
11116.A23A088.1198002	0.99995863	0.94940484	0.029488694	0.5490276
11116.A06A085.1196281	0.99990785	0.8857283	0.024375586	0.67180026
11116.A16C100.1196498	0.8317728	0.49450353	0.23554632	0.5970073
11116.A23A118.1196382	0.9319864	0.7787751	0.31505492	0.46217287
11116.A18B070.1193606	0.96304494	0.7076969	0.18129459	0.3414157
11116.A15C064.1195442	0.9701082	0.8337854	0.13539203	0.29505152
11116.L23A118.1193957	0.96639204	0.83674026	0.21837889	0.36934474
11116.A03A091.1195056	0.99889386	0.97702396	0.10499579	0.30743223
11116.L19A118.1197800	0.9987646	0.72594845	0.10105514	0.5450261
11116.A09B064.1197798	0.94585645	0.747715	0.16937928	0.34979823
11116.L24A094.1196175	0.9997773	0.9700515	0.06826937	0.49451092
11116.L18A086.1198152	0.9412886	0.8104244	0.22237629	0.41018665
11116.I02A089.1197554	0.9661881	0.30201587	0.13439944	0.5924863
11116.L06A081.1198363	0.9706384	0.6682844	0.18345931	0.37963545
11116.I32A080.1196505	0.8441488	0.68720263	0.22114149	0.40452817
11116.I16A096.1195614	0.99986565	0.95980215	0.03489781	0.58734715
11116.L25A063.1198416	0.9676022	0.7357964	0.113615416	0.26272154
11116.L29A093.1196426	0.9998167	0.93886733	0.056115597	0.5221807
11116.I25A088.1196659	0.99673164	0.9626492	0.13644217	0.22980978
11116.I31A119.1196639	0.9998197	0.7456016	0.05618159	0.7856038
11116.L16A070.1194003	0.9690867	0.7072178	0.12585977	0.25228474
11116.I04A071.1196314	0.38121122	0.17860682	0.7850905	0.9266437
11116.U457A61.1194606	0.96428126	0.39237574	0.1870363	0.6700976
11116.L29A091.1193805	0.0	0.0	0.6079998	0.6928619
11116.L04A093.1194237	0.9941482	0.9274931	0.25125682	0.65106755
11116.A27C091.1197678	0.99995756	0.95620275	0.027276402	0.5587165
11116.I03A092.1194058	0.9705459	0.32040596	0.19482137	0.5446518
11116.L28A081.1194552	0.9071754	0.6341499	0.20651843	0.46055266
11116.I08A065.1194536	0.9337346	0.8240635	0.16340555	0.3026933
11116.I09A079.1195993	0.8631916	0.66006225	0.27516174	0.4561384
11116.L25A089.1197223	0.9997977	0.9655895	0.072298266	0.35654393
11116.C25A63.1194642	0.9929243	0.5474763	0.17183566	0.5273759
11116.I10A072.1198203	0.950452	0.3967437	0.16119081	0.48073068
11116.L29A069.1196383	0.9363703	0.7062299	0.16975392	0.34352493
11116.A26C088.1195870	0.99983275	0.9582487	0.051277768	0.41791955
11116.I02A099.1195797	0.4922493	0.45069158	0.40738	0.5625792
11116.L28A085.1194471	0.8526655	0.6747609	0.29193088	0.5083654
11116.A32C085.1195943	0.9997951	0.9004245	0.048312236	0.51914775
11116.A15A082.1198465	0.99993116	0.9939775	0.028549999	0.4097688
11116.I26A066.1195760	0.9450556	0.7410688	0.17665763	0.38256362
11116.L07A072.1196524	0.8213525	0.56863844	0.24429682	0.4428625
11116.L15A074.1195201	0.9636832	0.67443645	0.15852515	0.40962586
11116.L03A088.1194238	0.9991727	0.9735582	0.10859274	0.2757517
11116.L04A063.1194706	0.95260704	0.64762086	0.14970826	0.36701852
11116.L01A090.1198222	0.7996917	0.2304636	0.29431614	0.5881944
11116.A14B091.1194462	0.99990994	0.9876889	0.028803423	0.5016015
11116.A18D079.1194602	0.91943187	0.3958973	0.16276653	0.51455164
11116.A08D082.1198261	0.9913023	0.6133503	0.15451781	0.45994678
11116.I22A082.1197603	0.99766666	0.98880124	0.123934105	0.23137449
